name,survey,theta_E_pub,prom_native,prom_euclid,frac_euc_v3_inc@euclid,frac_euc_v3_res@euclid,frac_hyb_v2@native,frac_m3@native,frac_paltas_v1@native,frac_pathb_ens@native,frac_pathb_inc@native,frac_pathb_res@native,frac_sel_ens@euclid,frac_sel_inc@euclid,frac_sel_res@euclid,frac_v3_inc@native,frac_v3_res@native,fail_euc_v3_inc@euclid,fail_euc_v3_res@euclid,fail_hyb_v2@native,fail_m3@native,fail_paltas_v1@native,fail_pathb_ens@native,fail_pathb_inc@native,fail_pathb_res@native,fail_sel_ens@euclid,fail_sel_inc@euclid,fail_sel_res@euclid,fail_v3_inc@native,fail_v3_res@native,nfail_native_cur,nfail_euclid_cur,excluded
J1134+6027,SLACS,1.100000023841858,565.1612331477357,418.31781875725244,0.30872727272727263,0.207,0.16718181818181813,0.10409090909090893,0.7879090909090907,0.784681818181818,0.7664545454545454,0.8029090909090908,0.4006818181818179,0.9589090909090906,-0.15754545454545466,0.02699999999999985,0.2595454545454544,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,False
J1142+1001,SLACS,0.9800000190734863,283.9663276164643,220.58418199149475,0.4959183673469388,0.036836734693877576,-0.14020408163265302,-0.13336734693877544,-0.010102040816326551,-0.0964795918367346,-0.0004081632653060775,-0.19255102040816324,0.01015306122448981,-0.059897959183673445,0.08020408163265307,0.06673469387755115,-0.2523469387755102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,False
J1143-0144,SLACS,1.6799999475479126,78.2583869303091,61.293361674360064,0.07613095238095245,-0.2253571428571429,-0.08601190476190468,-0.32827380952380947,0.0742857142857143,0.18866071428571432,0.1939880952380953,0.18333333333333338,0.24913690476190475,0.25767857142857137,0.24059523809523817,-0.021369047619047645,-0.30077380952380944,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,False
J1153+4612,SLACS,1.0499999523162842,76.05609228900191,15.693824076816139,-0.08304761904761909,-0.0998095238095238,-0.03638095238095239,-0.03485714285714282,-0.07704761904761913,0.05419047619047614,0.1309523809523809,-0.02257142857142862,-0.02395238095238117,-0.01047619047619059,-0.03742857142857153,-0.12952380952380954,-0.2236190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
J1204+0358,SLACS,1.309999942779541,190.0029521871309,147.22299797958684,0.03671755725190842,0.03549618320610686,0.01519083969465651,0.19091603053435113,-0.00984732824427491,0.02045801526717552,0.01702290076335877,0.023893129770992276,0.03797709923664119,0.027709923664122137,0.04824427480916024,0.02053435114503811,0.034503816793893055,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J1205+4910,SLACS,1.2200000286102295,230.77746188518455,182.69831068111873,0.45508196721311467,0.15032786885245902,0.020983606557377105,-0.32352459016393437,0.21655737704918032,0.014426229508196772,0.05999999999999994,-0.031147540983606586,0.021598360655737784,-0.0478688524590164,0.09106557377049179,0.019508196721311512,0.17909836065573764,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False
J1213+6708,SLACS,1.4199999570846558,698.0120071728577,568.4048734833159,-0.12077464788732394,-0.35964788732394365,-0.02999999999999998,-0.5279577464788732,0.013450704225352196,0.10640845070422536,0.3195070422535211,-0.1066901408450704,-0.02383802816901404,0.33640845070422537,-0.38408450704225344,-0.4065492957746479,-0.2613380281690141,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,False
J1218+0830,SLACS,1.4500000476837158,33.845464031127726,33.620616588885845,0.2953793103448277,0.29517241379310344,0.13020689655172418,0.20641379310344837,0.18896551724137933,0.23186206896551728,0.31551724137931036,0.1482068965517242,0.3012413793103449,0.30475862068965515,0.29772413793103447,0.2535862068965518,0.196,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,False
J1250+0523,SLACS,1.1299999952316284,12.460736265740579,51.83547041520611,0.054867256637168196,0.038761061946902715,-0.022477876106194575,-0.26575221238938046,0.057433628318584236,0.046238938053097464,0.04504424778761077,0.04743362831858416,0.057168141592920545,0.05752212389380546,0.056814159292035434,0.055575221238938224,0.043097345132743534,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
J1251-0208,SLACS,0.8399999737739563,16.361656568553872,11.420059194860409,0.9527380952380954,0.2509523809523809,0.07797619047619048,0.0428571428571429,0.2516666666666666,0.9001190476190478,1.2486904761904765,0.551547619047619,0.782797619047619,0.7304761904761905,0.8351190476190478,0.6510714285714286,0.061785714285714353,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,False
