i,name,theta_E_pub,off_center,defl_re_px,defl_re_as,n_field_comp,arc_coverage,n_knots,arc_radius_px,arc_defl_flux,arc_contrast,flag_off_center,flag_no_arc,flag_two_light,flag_theta_mismatch,flag_tiny_theta
259,102158892_2704470582654415692,2.537,2.6,12.3,0.617,0,0.792,6,49.1,0.2266,223.7,0,0,0,0,0
260,102158893_2720583810655664894,0.592,1.5,7.8,0.388,5,0.667,3,12.8,0.168,166.3,0,0,0,0,0
261,102158894_2730612507653143373,1.74,1.7,13.1,0.654,2,0.708,2,38.2,0.2432,82.1,0,0,0,0,0
262,102158894_2733212462655784384,1.312,1.2,8.8,0.442,4,0.625,3,24.7,0.0455,20.9,0,0,0,0,0
263,102158896_2752149841653729649,1.486,2.7,11.6,0.582,2,0.583,3,31.7,0.3304,57.1,0,0,0,0,0
264,102158896_2755778332656876880,0.752,2.9,13.7,0.687,1,0.75,2,16.5,0.4861,125.4,0,0,0,0,0
265,102158896_2759717332653541075,0.524,0.2,9.1,0.454,1,0.667,3,11.0,0.4575,36.5,0,0,0,0,0
266,102158896_2760272555655712464,0.428,10.3,22.7,1.134,4,0.542,1,9.4,3.8981,315.2,0,0,0,0,0
267,102159186_2631794504660304436,1.017,1.7,12.5,0.624,0,0.625,4,20.7,0.1999,15.4,0,0,0,0,0
268,102159186_2632387939662408264,0.819,0.6,12.4,0.62,1,0.75,5,17.5,0.1114,34.1,0,0,0,0,0
269,102159189_2663231466659368059,1.275,1.0,10.5,0.524,2,0.792,3,24.4,0.2202,56.2,0,0,0,0,0
270,102159189_2667596748662187959,0.907,10.4,17.8,0.888,1,0.667,2,19.4,1.9144,57.6,0,0,0,0,0
271,102159189_2669674055661286334,1.116,0.3,7.5,0.375,1,0.333,4,22.8,0.0548,10.2,0,0,0,0,0
272,102159192_2695197869661844158,1.023,2.9,11.8,0.59,1,0.583,3,18.9,0.2508,18.4,0,0,0,0,0
273,102159192_2699004780662092340,0.94,1.8,9.4,0.469,2,0.75,2,19.4,0.1113,17.8,0,0,0,0,0
274,102159194_2723464956661228420,0.715,1.7,10.7,0.537,1,0.917,3,14.9,0.523,88.7,0,0,0,0,0
275,102159195_2734094103661424333,1.059,4.7,12.6,0.629,1,0.75,3,22.9,0.3277,62.6,0,0,0,0,0
276,102159196_2750719383660442039,1.102,3.9,16.7,0.837,1,0.667,3,21.4,0.8514,27.7,0,0,0,0,0
277,102159481_2634849207665073829,0.773,0.5,10.5,0.525,3,0.333,3,17.0,0.0376,7.3,0,0,0,0,0
278,102159482_2642474434666614156,0.526,8.4,13.4,0.668,0,0.583,2,11.4,3.6496,137.0,0,0,0,0,0
279,102159485_2681289316665353959,1.213,1.2,9.0,0.448,1,0.417,3,26.1,0.0794,11.6,0,0,0,0,0
280,102159486_2691200739666476860,1.273,4.7,13.0,0.649,2,0.792,4,23.3,0.3279,64.9,0,0,0,0,0
281,102159486_2695397736666928563,1.914,2.6,10.3,0.516,0,0.5,7,33.6,0.064,19.0,0,0,0,0,0
282,102159487_2702648437664620342,1.628,4.0,10.2,0.51,1,0.5,8,36.7,0.0817,21.4,0,0,0,0,0
283,102159488_2715904729665064695,1.306,3.8,10.8,0.538,5,0.667,6,23.9,0.0431,8.5,0,0,0,0,0
284,102159488_2717571775663564534,0.528,1.7,8.4,0.418,1,0.75,2,11.1,0.3573,37.4,0,0,0,0,0
285,102159489_2725731664662876609,0.559,1.2,9.9,0.493,3,0.708,4,11.9,0.3398,19.4,0,0,0,0,0
286,102159489_2728201578663264671,0.727,4.0,15.4,0.77,4,0.667,3,16.5,0.8521,10.1,0,0,0,0,0
287,102159489_2730705167663624037,1.052,6.0,13.0,0.65,4,0.5,2,21.1,0.6999,185.0,0,0,0,0,0
288,102159771_2645005552671976577,0.582,1.5,13.4,0.671,3,0.667,1,12.9,0.9265,50.8,0,0,0,0,0
289,102159772_2657244795670716163,1.562,1.5,11.2,0.56,2,0.833,4,32.9,0.2957,115.2,0,0,0,0,0
290,102159772_2662654897671699728,0.483,0.9,8.8,0.441,1,0.667,2,10.3,0.4701,63.3,0,0,0,0,0
291,102159773_2671366170672094055,0.513,1.7,9.2,0.458,1,0.667,4,9.6,0.1387,10.1,0,0,0,0,0
292,102159773_2677079122669151496,1.437,10.3,13.8,0.692,4,0.875,4,30.6,0.5495,317.2,0,0,0,0,0
293,102159776_2707047371671953097,0.717,1.0,14.3,0.716,3,0.667,3,15.5,0.6656,16.6,0,0,0,0,0
294,102159777_2716319161668542331,0.51,1.0,7.1,0.357,0,0.708,3,10.9,0.1857,41.0,0,0,0,0,0
295,102159778_2733418388668044661,1.378,4.4,16.5,0.827,1,0.833,4,25.2,0.5545,45.0,0,0,0,0,0
296,102159778_2735946368671378903,0.624,6.0,13.0,0.648,2,0.542,1,13.6,1.458,553.6,0,0,0,0,0
297,102160055_2646891602674889078,0.925,20.7,20.1,1.005,1,0.667,2,20.1,6.58,168.2,0,0,0,0,0
298,102160057_2669613885677463506,0.476,1.8,7.1,0.357,6,0.75,2,9.5,0.2813,54.4,0,0,0,0,0
299,102160058_2684023754674529862,1.176,4.8,11.5,0.573,3,0.708,4,21.5,0.1271,13.6,0,0,0,0,0
300,102160058_2689874038672725438,0.746,0.5,5.8,0.29,1,0.5,2,13.3,0.1225,44.3,0,0,0,0,0
301,102160058_2690177088672937227,0.263,1.8,8.1,0.404,1,0.708,3,5.8,0.2713,53.9,0,0,0,0,0
302,102160059_2697821071675011270,0.609,0.3,7.3,0.363,2,0.583,3,12.7,0.0848,26.8,0,0,0,0,0
303,102160060_2714236250676150798,0.67,2.0,6.7,0.333,0,0.708,2,12.9,0.1946,67.3,0,0,0,0,0
304,102160334_2661812445678287733,0.713,8.3,13.0,0.649,1,0.625,2,14.9,2.0183,63.5,0,0,0,0,0
305,102160334_2665945112680410578,0.605,1.1,10.5,0.526,2,0.875,4,12.6,0.3069,40.3,0,0,0,0,0
306,102160335_2680788986678866937,0.478,0.5,7.5,0.377,1,0.875,2,10.1,0.355,47.4,0,0,0,0,0
307,102160335_2682061397679348286,0.659,1.2,12.0,0.602,3,0.667,5,14.6,0.3198,53.1,0,0,0,0,0
308,102160336_2694549514678142483,1.518,8.7,14.2,0.71,4,0.75,3,30.5,0.4085,37.0,0,0,0,0,0
