stamp_id,keep_nurkyz,keep_final,reason,flags,nurkyz_comment
G4B_00473,1,1,,close_pair_check_isophote_fit,2 lights in the center
G4B_00474,0,0,,,
G4B_00477,1,1,,,
G4B_00478,1,1,,,
G4B_00479,0,0,,,
G4B_00481,0,0,,,
G4B_00482,1,1,,,
G4B_00483,1,0,"KNOWN lens-type object within 10arcsec: COOL J1153+0755 source (LeQ, 0.23"")",,many bright light sources in the image
G4B_00484,1,1,,,
G4B_00485,0,0,,,
G4B_00486,1,1,,,
G4B_00490,1,1,,,
G4B_00491,1,1,,,
G4B_00492,1,1,,bcg,
G4B_00493,1,1,,,
G4B_00494,1,1,,,
G4B_00495,1,1,,,
G4B_00496,0,0,,,
G4B_00497,1,1,,,
G4B_00498,0,0,,,
G4B_00499,1,1,,bcg,
G4B_00500,1,1,,,
G4B_00501,1,1,,,
G4B_00502,1,1,,,
G4B_00503,1,1,,neighbors_mask,many bright light sources in the image
G4B_00505,1,1,,,
G4B_00506,0,0,,,
G4B_00507,0,0,,,
G4B_00508,0,0,,,
G4B_00509,0,0,,,
G4B_00510,1,1,,,
G4B_00514,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy with arms
G4B_00515,0,0,,,
G4B_00516,0,0,,,
G4B_00517,1,1,,,
G4B_00518,1,1,,low_snr,"small light, maybe very far away"
G4B_00521,0,0,,,
G4B_00523,0,0,,,
G4B_00527,1,1,,bcg,
G4B_00529,1,1,,,
G4B_00530,0,0,,,
G4B_00531,1,1,,,
G4B_00533,0,0,,,
G4B_00534,0,0,,,
G4B_00535,1,1,,,
G4B_00536,1,1,,,
G4B_00538,1,1,,,
G4B_00539,1,1,,,
G4B_00540,1,1,,,
G4B_00541,1,1,,,
G4B_00542,0,0,,,"very big and beautiful, looks like a galaxy with rings, what is it? is it a known galaxy?"
G4B_00543,1,1,,bcg,
G4B_00544,1,1,,,
G4B_00546,1,1,,,
G4B_00548,0,0,,,
G4B_00549,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy with arms
G4B_00550,1,1,,,
G4B_00551,0,0,,,
G4B_00552,1,0,"KNOWN lens-type object within 10arcsec: [BBC2005] 27.1 (LeG, 4.79"")",,looks like a galaxy but with weird arms
G4B_00553,1,1,,bcg,
G4B_00554,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00555,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00557,1,1,,,
G4B_00558,1,0,visual arc suspect - excluded from library pending investigation,,maybe there is an arc
G4B_00559,1,1,,,
G4B_00560,1,1,,,
G4B_00561,1,1,,,
G4B_00562,1,1,,,
G4B_00564,0,0,,,
G4B_00565,1,1,,low_snr,black background
G4B_00566,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_00567,1,1,,,
G4B_00568,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_00569,1,1,,,
G4B_00572,1,1,,,
G4B_00573,1,1,,,
G4B_00574,1,1,,,
G4B_00575,1,1,,,
G4B_00576,1,1,,,
G4B_00577,1,1,,,
G4B_00578,1,1,,,
G4B_00579,1,1,,,
G4B_00580,1,1,,,
G4B_00584,1,1,,,
G4B_00587,1,1,,,
G4B_00589,0,0,,,
G4B_00590,0,0,,,
G4B_00591,0,0,,,
G4B_00592,1,1,,,
G4B_00594,1,1,,,
G4B_00595,1,1,,,
G4B_00596,1,1,,,
G4B_00597,1,0,"KNOWN lens-type object within 10arcsec: [RSK2010] A 1835 5.3 (LeG, 3.55"")",,
G4B_00598,0,0,,,
G4B_00600,0,0,,,
G4B_00602,0,0,,,
G4B_00603,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00604,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00605,1,1,,,
G4B_00608,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00609,1,1,,,
G4B_00610,1,1,,,
G4B_00611,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00612,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00613,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00618,1,1,,,
G4B_00619,1,1,,,
G4B_00620,1,1,,,
G4B_00621,1,1,,,
G4B_00622,1,1,,,
G4B_00623,0,0,,,
G4B_00627,1,1,,,
G4B_00629,1,1,,,
G4B_00633,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy
G4B_00634,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00635,1,1,,close_pair_check_isophote_fit|bcg,4 lights in the center
G4B_00636,1,1,,,
G4B_00639,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"looks like a galaxy with swirling arms, is it ok?"
G4B_00640,1,1,,,
G4B_00642,1,1,,,
G4B_00643,1,1,,,
G4B_00644,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00645,1,1,,,
G4B_00646,1,0,face-on barred spiral (the 'inner+outer circle'),,"looks like a galaxy but it has inner circle like a full arc, and outer uneven bigger circle, likely should reject?"
G4B_00648,0,0,,,
G4B_00649,1,1,,,
G4B_00650,0,0,,,
G4B_00652,1,1,,,
G4B_00654,1,1,,,
G4B_00655,1,1,,,
G4B_00656,1,0,"KNOWN lens-type object within 10arcsec: [FIK97] D (LeG, 1.51"")",,
G4B_00657,1,1,,,
G4B_00658,1,1,,,
G4B_00659,0,0,,,
G4B_00660,1,0,"KNOWN lens-type object within 10arcsec: [SKE2001] B15 (LeI, 6.9"")",,
G4B_00661,1,0,"KNOWN lens-type object within 10arcsec: [SKE2001] B02d (LeI, 2.04"")",,
G4B_00662,1,1,,,
G4B_00663,1,1,,,
G4B_00664,0,0,,,
G4B_00665,1,1,,bcg,
G4B_00666,1,1,,,
G4B_00667,1,1,,,
G4B_00668,1,1,,,
G4B_00669,1,1,,,
G4B_00670,0,0,,,
G4B_00671,0,0,,,
G4B_00672,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"galaxy, looks like far away"
G4B_00673,1,1,,,
G4B_00674,1,1,,,
G4B_00675,1,1,,,
G4B_00676,1,1,,,
G4B_00677,1,1,,,
G4B_00678,1,1,,,
G4B_00679,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00681,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00682,1,1,,,
G4B_00683,0,0,,,
G4B_00684,1,1,,,
G4B_00686,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00688,1,1,,,
G4B_00689,1,1,,,
G4B_00690,1,1,,,
G4B_00691,1,1,,,
G4B_00692,1,1,,,
G4B_00693,1,1,,close_pair_check_isophote_fit,2 lights close by
G4B_00694,1,0,"KNOWN lens-type object within 10arcsec: [LHC2023] RX2129-ID11022 (LeG, 8.69"")",,
G4B_00695,1,1,,close_pair_check_isophote_fit,2 lights
G4B_00696,1,1,,,
G4B_00697,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00699,1,1,,,
G4B_00700,0,0,,,
G4B_00701,1,1,,,
G4B_00702,1,1,,,
G4B_00707,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00708,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful galaxy with swirling arms, is it ok?"
G4B_00709,0,0,,,
G4B_00710,1,1,,,
G4B_00711,1,1,,,
G4B_00712,1,1,,,
G4B_00714,1,1,,,
G4B_00715,1,1,,,
G4B_00716,1,1,,bcg,
G4B_00717,1,1,,,
G4B_00718,1,1,,,
G4B_00721,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,likely galaxy not sure
G4B_00725,1,1,,,
G4B_00732,1,1,,,
G4B_00734,0,0,,,
G4B_00740,1,1,,,
G4B_00741,1,1,,,
G4B_00742,1,1,,,
G4B_00743,1,1,,close_pair_check_isophote_fit,2 lights
G4B_00747,1,1,,,
G4B_00749,1,1,,,
G4B_00751,1,1,,,
G4B_00755,0,0,,,
G4B_00756,1,1,,,
G4B_00758,0,0,,,
G4B_00759,1,1,,,
G4B_00760,1,1,,,
G4B_00761,1,1,,close_pair_check_isophote_fit,2 lights
G4B_00767,1,1,,,
G4B_00768,1,1,,,
G4B_00769,1,1,,close_pair_check_isophote_fit,2 lights in the center
G4B_00770,1,1,,,
G4B_00773,1,1,,,
G4B_00774,1,1,,,
G4B_00777,1,0,visual arc suspect - excluded from library pending investigation,,"there is an arc, is it a known lens?"
G4B_00781,1,1,,,
G4B_00783,1,1,,,
G4B_00786,0,0,,,
G4B_00789,1,1,,close_pair_check_isophote_fit,"light in the center, but there is like a galaxy in the lower left part"
G4B_00790,1,1,,,
G4B_00791,1,1,,,
G4B_00793,1,1,,,
G4B_00796,0,0,,,
G4B_00797,1,1,,,
G4B_00798,1,1,,,
G4B_00799,1,1,,bcg,
G4B_00800,1,1,,,
G4B_00801,1,1,,,
G4B_00803,0,0,,,
G4B_00804,1,1,,low_snr,"black background, also the light in the low left is brighter than center"
G4B_00807,0,0,,,
G4B_00810,1,1,,,
G4B_00811,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00812,1,1,,,
G4B_00813,1,1,,,
G4B_00814,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,galaxy with 2 arms
G4B_00815,1,1,,,very bright
G4B_00816,0,0,,,
G4B_00817,0,0,,,
G4B_00818,1,1,,,
G4B_00819,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00820,1,1,,low_snr,dim and small
G4B_00821,1,1,,,
G4B_00822,1,0,faint outer arms (ambiguous ring),,looks like an arc
G4B_00823,0,0,,,
G4B_00824,0,0,,,
G4B_00825,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,"very beutiful and big galaxy with swirling arms, is it ok?"
G4B_00826,1,1,,neighbors_mask,2 bright lights
G4B_00827,0,0,,,
G4B_00828,1,1,,,
G4B_00829,1,1,,,
G4B_00830,0,0,,,
G4B_00831,0,0,,,
G4B_00832,0,0,,,
G4B_00833,1,1,,,
G4B_00834,1,1,,,
G4B_00836,1,0,late-type morphology (disk/spiral arms) - not an LRG deflector,,likely a galaxy
