stamp_id,name,src_index,sigma_v,sigma_err,z_l,mag,re_arcsec,q,pa_deg,prom,flag_arcy,iso_a3,iso_b3,iso_a4,iso_b4,iso_m3,iso_m4,iso_harm12,iso_nann,iso_drift_px,iso_q,iso_pa_deg,flag_iso_bad,flag_pair
311,G4B_00689,498,221.0,36.0,0.231,19.029,0.601,0.69,88.2,1343.9,1,0.00356,0.00271,0.00932,0.00063,0.00454,0.00951,0.01603,10,0.14965,0.53282,91.52935,0,0
312,G4B_00690,499,206.0,11.0,0.234,17.904,1.013,0.943,3.2,208.8,1,-0.00084,0.00037,-0.00012,-0.00093,0.00247,0.00399,0.00109,10,0.10803,0.85253,-0.69979,0,0
313,G4B_00691,500,192.0,34.0,0.237,19.688,0.526,0.848,88.5,598.2,1,-0.00083,0.00288,0.02125,0.00304,0.01266,0.0258,0.02115,10,0.68628,0.60932,73.94362,0,0
314,G4B_00692,501,166.0,18.0,0.23,19.064,0.426,0.701,82.7,0.0,0,0.00078,0.0062,0.0017,0.00152,0.00667,0.00516,0.00286,10,0.1178,0.77258,81.86638,0,0
315,G4B_00693,502,164.0,17.0,0.239,18.551,1.42,0.705,47.3,365.6,1,-0.28152,0.18564,-0.4536,1.51119,1.15584,1.76518,6.06928,10,7.86886,0.25,90.92566,0,1
316,G4B_00695,504,226.0,32.0,0.457,18.399,2.129,0.834,40.5,83.1,1,-0.03771,-0.02814,-0.00712,0.01961,0.06967,0.03653,0.25113,10,2.46807,0.734,69.26156,0,1
317,G4B_00696,505,205.0,14.0,0.195,16.835,2.298,0.876,-43.8,37.5,1,0.0126,-0.00422,-0.00028,-0.00295,0.02437,0.01049,0.03497,10,3.55637,0.67619,-48.88506,0,0
318,G4B_00699,507,231.0,18.0,0.279,17.929,1.028,0.893,-29.4,91.9,1,-0.00015,0.00083,-0.01133,0.00245,0.00338,0.01205,0.00291,10,0.17891,0.83136,-33.91439,0,0
319,G4B_00701,509,171.0,11.0,0.138,16.871,1.436,0.826,-5.3,71.2,1,0.00079,-8e-05,0.01327,0.00752,0.00178,0.01759,0.00488,10,0.07288,0.63697,-1.22118,0,0
320,G4B_00702,510,199.0,8.0,0.07,15.548,1.485,0.898,-56.8,175.3,1,0.00064,-0.00098,-0.00155,-0.00359,0.00295,0.00503,0.00128,10,0.11152,0.76508,-55.232,0,0
321,G4B_00710,514,217.0,12.0,0.255,17.755,1.233,0.932,-71.2,103.1,1,-0.00027,-0.00277,0.00254,-0.00491,0.00355,0.00588,0.00314,10,0.14355,0.87273,-73.49395,0,0
322,G4B_00711,515,201.0,17.0,0.115,17.368,1.297,0.826,-56.7,45.1,1,-0.00163,-0.00022,-0.00485,-0.002,0.00437,0.00606,0.00704,10,0.167,0.79684,-55.78343,0,0
323,G4B_00712,516,216.0,21.0,0.267,17.541,1.575,0.941,-7.8,36.9,1,0.01006,-0.00553,0.0068,0.01264,0.01353,0.01449,0.03074,10,1.44311,0.82403,-13.12611,0,0
324,G4B_00714,517,188.0,32.0,0.445,19.302,0.983,0.976,86.6,86.7,1,-0.00211,0.0005,-0.01134,-0.00728,0.0096,0.01924,0.03235,9,0.21004,0.7635,130.21298,0,0
325,G4B_00715,518,224.0,12.0,0.311,17.718,1.182,0.851,15.9,118.1,1,-0.00823,-0.00697,0.00798,-0.01486,0.0127,0.01859,0.04704,10,1.2959,0.73272,25.564,0,0
326,G4B_00716,519,219.0,30.0,0.372,18.353,1.089,0.935,83.5,68.8,1,-0.00231,0.00054,0.00336,0.00332,0.00321,0.00588,0.00229,10,0.43056,0.91047,80.14179,0,0
