name,ra_deg,dec_deg,theta_E_pub,q_pub,survey,src_table
G4B_00131,326.51515,4.39979,0.0,0.0,LRGDEFL2B,tierA|vd=293+-37|z=0.533|ACSWFC|2148s|P10152
G4B_00132,326.52234,4.37918,0.0,0.0,LRGDEFL2B,tierA|vd=289+-36|z=0.539|ACSWFC|2148s|P10152
G4B_00133,153.52061,38.83771,0.0,0.0,LRGDEFL2B,tierA|vd=264+-17|z=0.203|ACSWFC|2146s|P--
G4B_00134,217.49493,41.10435,0.0,0.0,LRGDEFL2B,tierA|vd=358+-37|z=0.287|ACSWFC|2128s|P10886
G4B_00135,135.81225,41.27144,0.0,0.0,LRGDEFL2B,tierA|vd=286+-40|z=0.432|ACSWFC|2128s|P10886
G4B_00136,135.79981,41.25234,0.0,0.0,LRGDEFL2B,tierA|vd=267+-25|z=0.433|ACSWFC|2128s|P10886
G4B_00137,203.83372,41.00115,0.0,0.0,LRGDEFL2B,tierA|vd=362+-13|z=0.228|ACSWFC|2123s|P--
G4B_00138,231.27299,33.44761,0.0,0.0,LRGDEFL2B,tierA|vd=260+-10|z=0.124|ACSWFC|2108s|P10886
G4B_00139,211.53433,25.11417,0.0,0.0,LRGDEFL2B,tierA|vd=336+-29|z=0.438|WFC3UVIS|2100s|P14178
G4B_00140,215.20254,53.10664,0.0,0.0,LRGDEFL2B,tierA|vd=276+-38|z=0.355|ACSWFC|2100s|P10134
G4B_00141,215.18044,52.99604,0.0,0.0,LRGDEFL2B,tierA|vd=267+-18|z=0.351|ACSWFC|2100s|P10134
G4B_00142,211.51695,25.14412,0.0,0.0,LRGDEFL2B,tierA|vd=257+-13|z=0.163|WFC3UVIS|2100s|P14178
G4B_00143,214.96749,52.92632,0.0,0.0,LRGDEFL2B,tierA|vd=294+-41|z=0.463|ACSWFC|2096s|P12063
G4B_00144,186.11848,11.81970,0.0,0.0,LRGDEFL2B,tierA|vd=294+-18|z=0.507|ACSWFC|2088s|P17267
G4B_00145,143.99987,9.21646,0.0,0.0,LRGDEFL2B,tierA|vd=283+-15|z=0.191|ACSWFC|2088s|P10886
G4B_00146,29.50873,-0.92423,0.0,0.0,LRGDEFL2B,tierA|vd=268+-53|z=0.545|ACSWFC|2088s|P10886
G4B_00147,355.27748,-0.00193,0.0,0.0,LRGDEFL2B,tierA|vd=267+-14|z=0.189|ACSWFC|2088s|P--
G4B_00148,144.01253,9.23429,0.0,0.0,LRGDEFL2B,tierA|vd=266+-10|z=0.130|ACSWFC|2088s|P10886
G4B_00149,152.87291,1.72316,0.0,0.0,LRGDEFL2B,tierA|vd=253+-17|z=0.331|ACSWFC|2088s|P10831
G4B_00150,355.27431,-0.00368,0.0,0.0,LRGDEFL2B,tierA|vd=251+-13|z=0.190|ACSWFC|2088s|P--
G4B_00151,212.22069,53.81699,0.0,0.0,LRGDEFL2B,tierA|vd=309+-30|z=0.511|WFC3UVIS|2053s|P--
G4B_00152,259.25163,59.62738,0.0,0.0,LRGDEFL2B,tierA|vd=303+-9|z=0.119|ACSWFC|2040s|P9753
G4B_00153,34.39943,-3.80172,0.0,0.0,LRGDEFL2B,tierA|vd=264+-18|z=0.292|ACSWFC|2030s|P17172
G4B_00154,150.23336,2.47624,0.0,0.0,LRGDEFL2B,tierA|vd=394+-39|z=0.374|ACSWFC|2028s|P9822
G4B_00155,149.75632,2.79470,0.0,0.0,LRGDEFL2B,tierA|vd=371+-52|z=0.493|ACSWFC|2028s|P10092
